date,fr_in,us_in,total_in
2021-05-01,1,0,1
2021-05-03,1,1,2
2021-05-05,0,1,2
2021-05-06,2,0,2
2021-05-08,1,1,2
2021-05-09,1,0,1
2021-05-10,0,1,1
2021-05-12,0,1,1
2021-05-13,1,0,1
2021-05-14,0,1,1
2021-05-15,1,1,2
2021-05-16,1,0,1
2021-05-17,0,1,1
2021-05-18,0,0,0
2021-05-19,1,1,2
2021-05-20,1,0,1
2021-05-21,0,1,1
2021-05-22,1,1,2
2021-05-23,1,0,1
2021-05-24,0,1,1
2021-05-26,1,1,2
2021-05-27,1,0,1
2021-05-28,0,1,1
2021-05-29,1,1,2
2021-05-30,1,0,1
2021-05-31,0,1,1
2021-06-02,1,1,2
2021-06-03,1,1,2
2021-06-04,0,1,1
2021-06-05,2,2,4
2021-06-07,0,1,1
2021-06-08,0,1,2
2021-06-09,2,1,3
2021-06-10,1,1,2
2021-06-11,0,1,1
2021-06-12,2,2,4
2021-06-14,0,1,1
2021-06-15,1,1,2
2021-06-16,2,1,3
2021-06-17,1,1,2
2021-06-18,0,1,1
2021-06-19,2,2,4
2021-06-20,0,0,0
2021-06-21,0,1,1
2021-06-22,0,1,1
2021-06-23,2,1,3
2021-06-24,1,1,2
2021-06-25,1,1,2
2021-06-26,2,2,4
2021-06-27,1,0,1
2021-06-28,1,1,2
2021-06-29,1,1,2
2021-06-30,1,1,2
2021-07-01,2,1,3
2021-07-02,1,1,2
2021-07-03,2,2,4
2021-07-04,1,1,2
2021-07-05,2,1,3
2021-07-06,0,1,1
2021-07-07,2,1,3
2021-07-08,2,1,3
2021-07-09,2,1,3
2021-07-10,1,2,3
2021-07-11,2,0,2
2021-07-12,3,1,4
2021-07-13,0,1,1
2021-07-14,2,1,3
2021-07-15,2,1,3
2021-07-16,2,1,3
2021-07-17,2,2,4
2021-07-18,2,0,2
2021-07-19,3,1,4
2021-07-20,0,1,1
2021-07-21,2,1,3
2021-07-22,2,1,3
2021-07-23,2,1,3
2021-07-24,2,2,4
2021-07-25,2,0,2
2021-07-26,3,1,4
2021-07-27,0,1,1
2021-07-28,2,1,3
2021-07-29,2,1,3
2021-07-30,2,1,3
2021-07-31,2,2,4
2021-08-01,2,0,2
2021-08-02,3,1,4
2021-08-03,0,1,1
2021-08-04,2,1,3
2021-08-05,2,1,3
2021-08-06,1,1,2
2021-08-07,3,2,6
2021-08-08,1,0,1
2021-08-09,3,1,4
2021-08-10,0,1,1
2021-08-11,2,1,3
2021-08-12,0,0,0
